Nazwa | Cena
Opcja dla trojga|55,00 €
Dla rodziny|62,00 €
Do wspólnego chrupania|62,00 €
Burger Drwala|16,90 €
McZestaw Burger Drwala|22,90 €
Burger Drwala na Ostro|17,40 €
McZestaw Burger Drwala na Ostro|23,40 €
Burger Drwala z Kurczakiem|15,90 €
McZestaw Burger Drwala z Kurczakiem|21,90 €
Podwójny Burger Drwala|19,90 €
McZestaw Podwójny Burger Drwala |25,90 €
Burger Drwala z Żurawiną|17,40 €
McZestaw Burger Drwala z Żurawiną |23,40 €
Burger Supreme Crispy Chicken|15,90 €
McZestaw Burger Supreme Crispy Chicken|21,90 €
McWrap Supreme Crispy Chicken|15,90 €
McZestaw McWrap Supreme Crispy Chicken|21,90 €
Big Mac|12,70 €
McZestaw BigMac|19,50 €
Podwójny McRoyal Pikantny|16,10 €
McZestaw Podwójny McRoyal Pikantny|21,90 €
McRoyal Podwójny|15,50 €
McZestaw Podwójny McRoyal|21,50 €
McRoyal|12,50 €
McZestaw McRoyal|19,30 €
WieśMac Podwójny|15,50 €
McZestaw Podwójny WieśMac|21,50 €
WieśMac|12,50 €
McZestaw WieśMac|19,30 €
McChicken|11,90 €
McZestaw McChicken|18,90 €
McWrap Chrupiący Klasyczny|12,90 €
McZestaw McWrap Klasyczny Chrupiący|20,10 €
McWrap Chrupiący Bekon Deluxe|13,40 €
McZestaw McWrap Bekon DeLuxe Chrupiący|20,60 €
McDouble|6,60 €
Cheeseburger|4,50 €
Kurczakburger|5,00 €
Chikker|5,50 €
Hamburger|4,00 €
Jalapeño Burger|4,50 €
