Nazwa | Opis |Cena
Danie Dnia|Filet z dorsza, ziemniaki, surówka| 15,00
Stripsy z frytkami|4 stripsy, frytki, sos| 12,50
Buła Chłopa|1 szt. Bułka, stek mielony, duszona cebulka, musztarda| 12,00
Frytki|+ketchup +sól| 6,50
Quesadilla z frytkami|kurczak, ser zółty, sos barbecue | 19,00
Jajka sadzone|ryż lub ziemniaki, warzywa na parze| 15,00
Frytki|+ketchup +sól| 6,50
Filet z dorsza|150 g| 11,30
Fit filet z dorsza na parze|150 g| 11,30
Grillowany filet z dorsza|150 g| 11,80
Fit łosoś na parze|100 g| 8,90
Grillowany łosoś|100 g| 8,90
Nuggetsy z frytkami, surówka|5 szt.| 13,00
Paluszki rybne z frytkami, surówka|3 szt.| 13,00
Makaron Penne z kurczakiem w sosie brokułowo-serowym|| 17,00
Makaron Penne z kurczakiem w sosie kurkowym|| 17,00
Makaron Penne z pesto bazyliowym i suszonymi pomidorami|| 18,00
Spaghetti z indyka|| 20,00
Naleśniki z serem|3szt| 16,00
Naleśniki z dżemem|3szt| 16,00
Naturalne soki 0,33L|Mandarynka, Jabłko-malina, Ananas, Grejpfrut biały, Jabłko-mango, Jabłko-limonka, Jabłko-liczi-pithaja, Jabłko-gruszka, Multiowocowy, Burak, Pomidor| 6,50
Woda niegazowana Cisowianka 0,5L|| 2,00
Woda gazowana Cisowianka 0,5L|| 2,00
Toma sok 0,33L|Multiwitamina, Jabłko| 3,00
Pepsi, Pepsi zero, Mirinda 0,5L|| 5,00
Napój Tymbark 1L|jabłko, pomarańcza| 5,50
Lipton Ice Tea 0,5L|Peach, Lemon, Green| 4,50
Napój energetyczny Tiger 0,25L|| 4,00
Monster Energy 0,5L|| 6,00
Napój energetyczny Rockstar 0,25L|| 4,00
Pepsi puszka 0,33L|| 3,50
7days|Rogalik z nadzieniem kakaowym| 3,00
Kinder bueno|| 3,50
Bake Rolls 7days|o smaku Pizza| 5,50
Mars x2|| 3,50
Prince Polo XXL|Classic| 2,50
Grześki|| 2,50
